episode,reward_sum,epsilon,mse,timestamp
67,1.029859386478659,0.877981133522076,10524185.260345727,2025-11-16T22:58:59.152278
68,103.37773738017718,0.8762251712550319,8398832.96926134,2025-11-16T22:59:18.892255
69,15.74661248239073,0.8744727209125218,5006743.173081965,2025-11-16T22:59:28.594510
70,109.21506231001868,0.8727237754706968,3042817.6244202307,2025-11-16T22:59:50.281929
71,12.83221364961706,0.8709783279197554,3161324.032761907,2025-11-16T23:00:00.560590
72,32.10349060644054,0.8692363712639158,2791875.143625545,2025-11-16T23:00:16.099689
73,134.67615398160575,0.867497898521388,1958002.6021465815,2025-11-16T23:00:26.675297
74,24.171685636544524,0.8657629027243453,871824.2104809758,2025-11-16T23:00:39.890528
75,-12.377059656435474,0.8640313769188966,1226663.1463596218,2025-11-16T23:00:50.271976
76,-11.555083946293912,0.8623033141650589,961723.3560223937,2025-11-16T23:01:04.629494
77,33.74572476407747,0.8605787075367288,577355.7594514022,2025-11-16T23:01:14.790830
78,-26.77879938346057,0.8588575501216553,563250.7690655367,2025-11-16T23:01:28.850968
79,-5.773957367066366,0.857139835021412,553438.8373779525,2025-11-16T23:01:38.994947
80,72.78304744667082,0.8554255553513692,624629.1441761573,2025-11-16T23:01:58.119986
81,80.33075713103788,0.8537147042406664,453157.9815991822,2025-11-16T23:02:08.622272
82,-6.520694233836167,0.8520072748321851,445203.8860823654,2025-11-16T23:02:22.051295
83,130.302232501841,0.8503032602825207,447059.51809757436,2025-11-16T23:02:33.782507
84,11.351301659567593,0.8486026537619556,225356.52945286594,2025-11-16T23:02:49.430312
85,-83.8301633858178,0.8469054484544317,361050.37451300776,2025-11-16T23:03:02.093417
86,-3.458446944917963,0.8452116375575228,417379.3163440297,2025-11-16T23:04:08.477778
87,-4.159560983573586,0.8435212142824078,349389.2666224973,2025-11-16T23:04:26.978522
88,26.173103345450322,0.841834171853843,628314.1420196755,2025-11-16T23:04:49.323681
89,-59.32626794206208,0.8401505035101353,301418.99459817045,2025-11-16T23:05:05.137607
90,111.13042098115017,0.838470202503115,307161.4281053617,2025-11-16T23:05:27.545210
91,85.66319126407728,0.8367932620981088,579882.0761020464,2025-11-16T23:05:38.497877
92,-83.76856018832467,0.8351196755739125,799057.229061439,2025-11-16T23:05:56.281561
93,33.282265381100345,0.8334494362227647,825450.9320673356,2025-11-16T23:06:06.486423
94,127.78122160716345,0.8317825373503192,854446.9534526123,2025-11-16T23:06:34.625577
95,-87.24670079380563,0.8301189722756185,653725.4485001325,2025-11-16T23:06:46.045330
96,15.244224007335724,0.8284587343310672,1015638.3807812408,2025-11-16T23:07:00.971563
97,70.80991874305705,0.8268018168624051,305527.42669703875,2025-11-16T23:07:12.347986
98,107.72158485637718,0.8251482132286803,592273.2959613699,2025-11-16T23:07:35.609358
99,70.79489813746558,0.823497916802223,743120.471476289,2025-11-16T23:07:46.669758
